Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
16,Southern Conference,10,144,111,0.565,-1.02,-1.42,0,1,0,UNC Greensboro,UNC Greensboro,2021
17,Atlantic Sun Conference,9,111,107,0.509,-7.61,-5.59,0,1,0,Liberty,Liberty,2021
18,America East Conference,10,89,97,0.478,-6.51,-5.38,0,1,0,"Maryland-Baltimore County, Vermont",Hartford,2021
19,Colonial Athletic Association,10,92,95,0.492,-4.83,-3.54,0,1,0,"James Madison, Northeastern",Drexel,2021
20,Horizon League,12,137,147,0.482,-7.89,-6.45,0,1,0,"Cleveland State, Wright State",Cleveland State,2021
21,Western Athletic Conference,9,92,89,0.508,-8.08,-3.22,0,1,0,"Grand Canyon, Utah Valley",Grand Canyon,2021
22,Sun Belt Conference,12,169,143,0.542,-6.62,-5.73,0,1,0,"Georgia State (East), Texas State (West)",Appalachian State,2021
23,Patriot League,10,81,78,0.509,-2.86,-2.51,0,1,0,"Lafayette (Central), Colgate (North), Navy (South)",Colgate,2021
24,Ohio Valley Conference,12,162,162,0.5,-8.18,-6.79,0,1,0,Belmont,Morehead State,2021
25,Big South Conference,11,123,146,0.457,-8.72,-7.14,0,1,0,Winthrop,Winthrop,2021
26,Metro Atlantic Athletic Conference,11,110,116,0.487,-7.88,-7.43,0,1,0,"Monmouth, Siena",Iona,2021
27,Mid-Eastern Athletic Conference,9,69,97,0.416,-14.55,-7.62,0,1,0,"Coppin State (Northern), Norfolk State (Northern), North Carolina A&T (Southern)",Norfolk State,2021
28,Mountain West Conference,11,152,131,0.537,-0.05,0.68,1,2,0,San Diego State,San Diego State,2021
29,Big West Conference,11,122,116,0.513,-3.43,-2.1,0,1,0,UC Santa Barbara,UC Santa Barbara,2021
30,Summit League,9,97,125,0.437,-5.98,-2.98,0,1,0,South Dakota State,Oral Roberts,2021
31,Southwest Athletic Conference,10,87,122,0.416,-17.68,-12.11,0,1,0,Prairie View A&M,Texas Southern,2021
1,Pac-12 Conference,12,222,178,0.555,9.49,7.35,3,3,0,Arizona,Arizona,2022
2,Big 12 Conference,10,217,126,0.633,15.54,9.75,4,6,1,"Baylor, Kansas",Kansas,2022
3,Big Ten Conference,14,271,193,0.584,11.92,8.6,4,9,0,"Illinois, Wisconsin",Iowa,2022
4,Southeastern Conference,14,283,196,0.591,12.34,8.45,4,6,0,Auburn,Tennessee,2022
5,Conference USA,14,250,214,0.539,-0.35,-0.62,0,1,0,"Middle Tennessee (East), North Texas (West)",UAB,2022
6,Atlantic 10 Conference,14,243,208,0.539,3.46,2.3,0,2,0,Davidson,Richmond,2022
7,West Coast Conference,10,183,141,0.565,5.14,3.26,2,3,0,Gonzaga,Gonzaga,2022
8,American Athletic Conference,11,194,151,0.562,7.32,4.95,1,2,0,Houston,Houston,2022
9,Southern Conference,10,177,148,0.545,-1.71,-1.51,0,1,0,Chattanooga,Chattanooga,2022
10,Missouri Valley Conference,10,170,153,0.526,2.66,1.53,0,1,0,Northern Iowa,Loyola (IL),2022
11,Big East Conference,11,218,148,0.596,11.22,8.16,3,6,1,Providence,Villanova,2022
12,Atlantic Coast Conference,15,290,224,0.564,9.04,6.78,1,5,2,Duke,Virginia Tech,2022
13,Western Athletic Conference,13,221,197,0.529,-2.58,-1.7,0,1,0,"New Mexico State, Seattle, Stephen F. Austin",New Mexico State,2022
14,Mid-American Conference,12,192,191,0.501,-5.01,-3.39,0,1,0,Toledo,Akron,2022
15,Colonial Athletic Association,10,166,156,0.516,-2.2,-1.33,0,1,0,"Towson, UNC Wilmington",Delaware,2022
16,Sun Belt Conference,12,198,169,0.54,-3.69,-2.41,0,1,0,Texas State,Georgia State,2022
17,Horizon League,12,176,205,0.462,-8.22,-5.83,0,1,0,"Cleveland State, Purdue Fort Wayne",Wright State,2022
18,Ivy League,8,108,113,0.489,-4.3,-2.82,0,1,0,Princeton,Yale,2022
19,Atlantic Sun Conference,12,188,192,0.495,-5.9,-3.28,0,1,0,"Liberty (East), Jacksonville State (West)",Bellarmine,2022
20,Northeast Conference,10,128,169,0.431,-10.96,-7.54,0,1,0,Bryant,Bryant,2022
21,Big South Conference,12,179,194,0.48,-7.32,-4.58,0,1,0,"Longwood (North), Winthrop (South)",Longwood,2022
22,Big Sky Conference,11,179,181,0.497,-7.38,-5.05,0,1,0,Montana State,Montana State,2022
23,Mountain West Conference,11,204,153,0.571,5.83,4.18,2,4,0,Boise State,Boise State,2022
24,Metro Atlantic Athletic Conference,11,180,169,0.516,-3.28,-2.96,0,1,0,Iona,Saint Peter's,2022
25,America East Conference,10,148,158,0.484,-8.15,-6.26,0,1,0,Vermont,Vermont,2022
26,Ohio Valley Conference,10,154,165,0.483,-5.92,-3.92,1,1,0,Murray State,Murray State,2022
27,Summit League,10,158,158,0.5,-6.69,-4.83,0,1,0,South Dakota State,South Dakota State,2022
28,Big West Conference,11,155,158,0.495,-3.65,-2.45,0,1,0,Long Beach State,Cal State Fullerton,2022
29,Mid-Eastern Athletic Conference,8,106,131,0.447,-12.03,-7.67,0,1,0,Norfolk State,Norfolk State,2022
30,Southwest Athletic Conference,12,137,229,0.374,-12.03,-5.86,0,1,0,Alcorn State,Texas Southern,2022
31,Southland Conference,8,119,141,0.458,-10.58,-5.9,0,1,0,Nicholls State,Texas A&M-Corpus Christi,2022
32,Patriot League,10,146,174,0.456,-9.62,-7.19,0,1,0,Colgate,Colgate,2022
1,Southeastern Conference,14,283,198,0.588,11.01,7.66,4,8,0,Alabama,Alabama,2023
2,Pac-12 Conference,12,221,186,0.543,10.46,8.01,2,4,0,UCLA,Arizona,2023
3,Big 12 Conference,10,217,129,0.627,15.63,10.2,5,7,0,Kansas,Texas,2023
4,Big Ten Conference,14,277,200,0.581,12.53,8.75,2,8,0,Purdue,Purdue,2023
5,American Athletic Conference,11,199,165,0.547,6.23,4.11,2,2,0,Houston,Memphis,2023
6,Conference USA,11,225,157,0.589,2.6,1.44,1,1,1,Florida Atlantic,Florida Atlantic,2023
7,West Coast Conference,10,188,144,0.566,6.43,4.78,2,2,0,"Gonzaga, Saint Mary's",Gonzaga,2023
8,Colonial Athletic Association,13,205,222,0.48,-6.49,-3.94,0,1,0,"College of Charleston, Hofstra",College of Charleston,2023
