Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
13,Big Ten Conference,14,246,188,0.567,14.22,10.41,5,6,0,"Iowa, Ohio State",Iowa,2022
14,Colonial Athletic Association,10,160,146,0.523,-4.24,-3.7,0,1,0,Drexel,Delaware,2022
15,Patriot League,10,152,155,0.495,-7.11,-6.4,0,1,0,Holy Cross,American,2022
16,America East Conference,10,135,160,0.458,-11.73,-9.09,0,1,0,Maine,Albany (NY),2022
17,Western Athletic Conference,13,200,195,0.506,-6.46,-4.44,0,1,0,Stephen F. Austin,Stephen F. Austin,2022
18,Sun Belt Conference,12,175,156,0.529,-6.17,-4.98,0,1,0,Troy,UT Arlington,2022
19,Missouri Valley Conference,10,160,154,0.51,2.21,2.56,0,2,0,Southern Illinois,Illinois State,2022
20,Big South Conference,12,164,202,0.448,-15.64,-11.09,0,1,0,"Campbell, Longwood",Longwood,2022
21,Summit League,10,161,147,0.523,-0.74,0.86,0,1,0,"South Dakota, South Dakota State",South Dakota,2022
22,Big Sky Conference,11,163,177,0.479,-4.39,-2.64,0,1,0,Idaho State,Montana State,2022
23,Mid-Eastern Athletic Conference,8,92,128,0.418,-19.58,-12.09,0,1,0,Howard,Howard,2022
24,Southland Conference,8,98,118,0.454,-16.34,-11.3,0,1,0,Houston Christian,Incarnate Word,2022
25,Southwest Athletic Conference,12,134,208,0.392,-17.01,-9.48,0,1,0,Jackson State,Jackson State,2022
26,Big West Conference,11,145,160,0.475,-3.43,-1.0,0,1,0,Hawaii,Hawaii,2022
27,Southern Conference,8,102,139,0.423,-11.93,-7.39,0,1,0,Mercer,Mercer,2022
28,Big East Conference,11,189,165,0.534,6.99,6.86,1,4,1,Connecticut,Connecticut,2022
29,Metro Atlantic Athletic Conference,11,153,181,0.458,-9.07,-7.59,0,1,0,Fairfield,Fairfield,2022
30,Ivy League,8,109,110,0.498,-4.02,-2.6,1,1,0,Princeton,Princeton,2022
31,Atlantic Sun Conference,12,191,172,0.526,-6.31,-3.88,1,1,0,"Florida Gulf Coast, Jacksonville State",Florida Gulf Coast,2022
32,Northeast Conference,10,119,163,0.422,-15.5,-11.27,0,1,0,FDU,Mount St. Mary's,2022
1,Big 12 Conference,10,206,130,0.613,19.43,13.27,2,6,0,"Oklahoma, Texas",Iowa State,2023
2,Southeastern Conference,14,294,173,0.63,20.42,12.95,3,7,2,South Carolina,South Carolina,2023
3,Big Ten Conference,14,270,183,0.596,18.74,13.5,5,7,1,Indiana,Iowa,2023
4,Atlantic Coast Conference,15,307,191,0.616,19.93,13.65,4,8,1,Notre Dame,Virginia Tech,2023
5,Horizon League,11,173,172,0.501,-5.07,-3.78,0,1,0,Green Bay,Cleveland State,2023
6,Missouri Valley Conference,12,191,194,0.496,0.22,0.92,0,1,0,"Belmont, Illinois State",Drake,2023
7,Pac-12 Conference,12,247,146,0.628,21.57,14.78,6,7,0,"Stanford, Utah",Washington State,2023
8,West Coast Conference,10,166,152,0.522,3.76,4.13,1,2,0,Gonzaga,Portland,2023
9,Big East Conference,11,207,152,0.577,14.22,10.96,2,5,0,Connecticut,Connecticut,2023
10,Big Sky Conference,10,157,155,0.503,-2.3,-1.32,0,1,0,"Montana State, Northern Arizona, Sacramento State",Sacramento State,2023
11,American Athletic Conference,11,191,153,0.555,7.36,4.25,0,2,0,South Florida,East Carolina,2023
12,Atlantic 10 Conference,15,240,230,0.511,0.48,-0.01,0,1,0,"Massachusetts, Rhode Island",Saint Louis,2023
13,Mountain West Conference,11,178,178,0.5,0.42,0.92,1,1,0,Nevada-Las Vegas,Nevada-Las Vegas,2023
14,Western Athletic Conference,13,204,205,0.499,-2.89,-1.52,0,1,0,Southern Utah,Southern Utah,2023
15,Southern Conference,8,128,120,0.516,-8.81,-6.18,0,1,0,Wofford,Chattanooga,2023
